,City,Latitude,Max Temperature,Humidity,Cloudiness,Wind Speed
0,Pushkar,26.49,61.790000000000006,44,0,1.24
1,Debre Sina,9.85,44.51,76,0,0.76
2,Vestmannaeyjar,63.44,44.24,94,92,10.84
3,Nikolskoye,59.7,37.004,93,0,2.0
4,Carnarvon,-30.97,58.19,73,0,3.64
5,Ushuaia,-54.81,41.0,94,75,7.2
6,Hermanus,-34.42,64.994,91,0,0.45
7,Puerto Ayora,-0.74,84.2,66,20,3.1
8,Ekhabi,53.51,13.279999999999998,87,92,9.46
9,Busselton,-33.64,73.994,38,8,4.59
10,Rikitea,-23.12,77.53999999999999,100,76,8.74
11,Yantal,56.85,3.469999999999999,69,8,1.06
12,Mataura,-46.19,57.002,96,64,2.01
13,Hithadhoo,-0.6,84.2,100,76,2.86
14,Cape Town,-33.93,71.99600000000001,88,75,6.7
15,Otradnoye,59.77,37.004,93,0,2.0
16,Isangel,-19.55,81.14,100,92,6.41
17,Georgetown,6.8,86.0,70,75,6.2
18,Mayo,63.59,50.0,46,90,4.6
19,Talnakh,69.49,5.18,83,80,3.16
20,San Patricio,-26.98,77.27,82,56,1.06
21,Sorland,67.67,28.4,68,40,1.5
22,Punta Arenas,-53.16,51.8,92,40,11.3
23,Castro,-42.48,55.400000000000006,54,75,7.2
24,Saint-Philippe,45.36,30.974,36,1,9.8
25,Pevek,69.7,-5.980000000000004,84,56,13.04
26,Saint-Leu,-21.15,80.6,74,0,2.1
27,La Ronge,55.1,39.2,60,5,6.2
28,Hobart,-42.88,53.6,87,75,3.1
29,Khandbari,27.38,25.43,75,8,0.71
30,Lebu,8.96,51.71,59,0,2.69
31,Jamestown,-33.21,54.230000000000004,91,64,1.26
32,Ola,59.58,-4.180000000000007,100,20,4.39
33,Beloha,-25.17,73.22,82,68,3.24
34,Tashara,55.52,17.33,89,76,2.51
35,Dingle,11.0,75.56,88,64,4.81
36,Cherskiy,68.75,-12.190000000000005,77,32,3.76
37,Kenitra,34.26,60.008,82,40,3.6
38,Santo Domingo,18.48,86.0,55,40,5.1
39,Bethel,60.79,15.8,78,90,3.6
40,Kutum,14.2,60.71,18,0,4.39
41,Tiksi,71.64,-25.509999999999998,38,20,1.49
42,Albany,42.65,41.0,25,75,8.2
43,Tignere,7.37,71.42,31,0,2.59
44,Port Hedland,-20.31,82.4,83,20,2.1
45,Quatre Cocos,-20.21,82.4,78,40,3.1
46,Fairmont,40.64,48.2,41,1,2.6
47,Muros,42.77,53.996,75,0,4.6
48,Port Alfred,-33.59,73.994,95,20,4.99
49,Bredasdorp,-34.53,69.80000000000001,83,76,3.6
50,Dikson,73.51,22.729999999999997,93,80,9.59
51,Sao Joao da Barra,-21.64,89.6,59,20,6.2
52,Kodiak,39.95,53.006,8,1,2.6
53,Kapaa,22.08,73.4,53,90,6.2
54,Berlevag,70.86,30.2,68,75,9.3
55,Balkanabat,39.51,45.230000000000004,96,92,2.79
56,Butaritari,3.07,82.13,100,64,6.84
57,Mount Gambier,-37.83,53.6,100,90,1.24
58,Kargil,34.56,7.699999999999999,82,76,0.61
59,Tilichiki,60.47,-13.719999999999999,41,32,1.21
60,Iralaya,15.0,86.0,62,20,3.6
61,Trelew,-43.25,63.31999999999999,33,0,6.69
62,Pisco,-13.71,71.6,30,75,4.6
63,Kruisfontein,-34.0,68.45,94,64,2.79
64,Vaini,15.34,65.03,90,0,0.99
65,Tuktoyaktuk,69.44,26.6,86,75,2.1
66,Nemuro,43.32,35.42,86,48,11.91
67,Namatanai,-3.66,82.49000000000001,100,12,4.36
68,Mar del Plata,-46.43,60.17,43,92,7.19
69,Bawku,11.06,86.0,25,8,3.59
70,Sao Felix do Xingu,-6.64,80.78,86,24,0.84
71,Avarua,-21.21,82.4,88,8,3.6
72,Zhigansk,66.77,-17.050000000000004,49,0,2.41
73,Puerto Penasco,31.32,66.992,79,0,3.13
74,Kavieng,-2.57,84.11,99,0,4.54
75,Strezhevoy,60.73,21.2,85,0,1.0
76,Ust-Kuyga,70.0,-35.59,65,12,1.26
77,Ketchikan,55.34,55.400000000000006,87,1,2.6
78,Moerai,-22.43,78.89,100,64,12.86
79,Provideniya,64.42,3.6499999999999986,100,8,3.09
80,Castle Rock,46.27,71.006,51,1,2.6
81,Mehamn,71.03,30.2,68,75,4.6
82,Ancud,-41.87,55.400000000000006,54,75,7.2
83,Yate,51.54,48.2,100,75,3.6
84,Inuvik,68.36,41.0,52,40,3.6
85,Teofilo Otoni,-17.86,79.78999999999999,76,44,1.59
86,Dunedin,-45.87,59.0,85,64,3.58
87,Chuy,-33.69,74.84,92,88,2.46
88,Tadine,-21.55,80.15,95,88,6.19
89,Ribeira Grande,38.52,62.6,72,40,4.1
90,Tacuarembo,-31.73,78.17,70,20,3.84
91,Ponta do Sol,-20.63,77.9,81,20,1.66
92,Tiarei,-17.53,87.008,70,40,1.5
93,Harrisonburg,38.45,48.992000000000004,39,90,2.1
94,Barrow,-38.31,64.13,71,0,5.49
95,Hofn,64.25,41.0,93,90,5.7
96,Ixtapa,20.71,77.0,73,90,6.2
97,Husavik,50.56,37.004,65,48,4.02
98,Antalaha,-14.9,76.73,86,8,3.24
99,East London,-33.02,73.4,94,20,5.1
100,Micheweni,-4.97,81.68,100,80,4.76
101,Turtas,58.94,25.16,85,92,2.29
102,Numan,9.46,81.05000000000001,35,0,3.14
103,Alice Springs,-23.7,68.0,20,32,2.1
104,Pasni,25.26,73.94,93,24,4.54
105,Thompson,55.74,41.0,60,20,2.1
106,Unirea,46.4,53.996,66,0,2.1
107,Broome,52.47,46.994,86,75,2.6
108,Kokoda,-8.88,63.230000000000004,97,92,0.31
109,Tabou,4.42,84.38,95,0,6.24
110,Port Elizabeth,39.31,48.992000000000004,42,90,2.6
111,Constitucion,23.99,71.006,26,75,5.7
112,Gamba,28.28,-10.930000000000007,40,0,2.26
113,Bismarck,46.81,37.994,86,1,5.1
114,Grindavik,63.84,46.004000000000005,93,75,12.9
115,Saint-Ambroise,47.25,48.002,100,90,1.0
116,Nome,30.04,69.99799999999999,44,1,4.6
117,Tasiilaq,65.61,23.0,85,88,13.4
118,New Norfolk,-42.78,53.6,87,75,3.1
119,Atuona,-9.8,81.95,100,32,7.06
120,Nanortalik,60.14,30.56,99,64,1.96
121,Tamworth,-31.09,64.4,82,90,0.5
122,Upernavik,72.79,-12.100000000000001,100,24,1.44
123,Halifax,44.65,37.004,40,75,8.2
124,Puro,13.13,73.85,90,56,2.16
125,Saldanha,41.42,38.480000000000004,73,0,1.29
126,Souillac,45.6,50.0,76,0,2.6
127,Hilo,19.71,73.994,56,90,2.6
128,Ziro,27.54,44.15,93,56,0.71
129,Zhezkazgan,47.8,21.2,80,0,6.34
130,Jiayuguan,39.77,20.93,51,0,2.06
131,Shache,38.42,50.0,38,12,1.39
132,Salalah,17.01,80.6,78,0,2.1
133,Rajshahi,24.37,63.14,93,0,1.49
134,Stephenville Crossing,48.5,24.997999999999998,73,40,6.2
135,Guerrero Negro,27.97,72.5,38,0,5.44
136,Taoudenni,22.68,65.30000000000001,12,68,2.81
137,Komsomolskiy,67.55,22.64,89,80,5.21
138,Portobelo,9.55,93.2,44,40,7.7
139,Maharajganj,26.11,64.4,59,20,2.96
140,Bilibino,68.06,-18.490000000000002,50,76,1.44
141,Papayal,-2.43,87.008,46,75,2.1
142,Sitka,37.17,59.0,40,0,6.26
143,Pacific Grove,36.62,75.00200000000001,52,1,1.69
144,Gambela,8.25,66.83000000000001,75,8,1.14
145,Kasongo-Lunda,-6.48,68.72,98,56,0.91
146,Phrae,18.14,75.00200000000001,99,0,1.24
147,Oussouye,12.49,86.0,78,0,2.1
148,San Luis,-33.3,77.45,45,24,4.29
149,Dordrecht,51.8,42.998000000000005,69,0,2.6
150,Moose Factory,51.26,14.0,56,1,5.7
151,San Juan de Flores,14.27,89.6,28,20,6.2
152,Yuma,32.73,82.994,21,1,4.1
153,Yellowknife,62.45,37.994,79,90,6.2
154,Hun,50.34,41.0,86,20,2.1
155,Bluff,-23.58,67.28,93,0,1.56
156,Nyimba,-14.56,69.80000000000001,88,12,1.29
157,Vao,59.1,33.8,92,12,4.61
158,Tatvan,38.5,21.47,97,0,0.81
159,Pailitas,8.96,90.68,52,32,0.69
160,Bilma,18.69,67.46000000000001,28,0,3.16
161,Gospic,44.55,46.4,70,75,5.7
162,Kijang,35.24,44.6,81,0,2.1
163,Hobyo,5.35,78.53,89,48,4.84
164,Wolnzach,48.61,39.992000000000004,69,40,2.1
165,Belaya Gora,68.54,-30.1,49,8,1.29
166,Tahoua,14.89,82.22,29,56,2.74
167,San Cristobal,-0.39,73.4,43,75,4.1
168,Lavrentiya,65.58,4.099999999999998,100,0,4.81
169,Kandra,27.59,61.97,59,0,0.99
170,Broken Hill,-31.97,68.0,32,0,2.6
171,Severo-Kurilsk,50.68,25.07,100,32,3.54
172,Wanaka,-44.7,53.33,96,80,1.14
173,Uruzgan,32.93,31.37,98,92,0.91
174,Mananjary,-19.16,61.88,98,56,1.21
175,Hasaki,35.73,48.2,81,75,0.5
176,Chifeng,42.27,44.42,38,0,3.74
177,Atambua,-9.11,78.98,100,88,4.44
178,Mahebourg,-20.41,82.4,78,40,3.1
179,Barcelos,41.53,57.992000000000004,76,0,3.6
180,Teya,21.05,86.0,51,90,6.2
181,Ler,63.2,37.4,80,75,9.3
182,Manicore,-5.81,91.4,63,40,3.6
183,Vostok,46.45,17.6,72,0,0.84
184,Balangiga,11.11,77.0,92,80,4.41
185,The Valley,18.22,82.4,47,20,6.2
186,Ilulissat,69.22,-0.3999999999999986,40,20,2.1
187,Carutapera,-1.2,80.06,89,32,1.94
188,Wasilla,61.58,46.4,65,1,4.1
189,Karratha,-20.74,73.58000000000001,81,0,1.39
190,Tim,51.62,35.6,100,40,6.0
191,Celestun,20.87,75.56,100,92,4.44
192,Lagoa,37.14,60.008,76,0,3.6
193,Nacala,-14.56,82.85,92,92,4.74
194,Kharhial,20.28,63.230000000000004,91,0,0.81
195,Esperance,10.24,87.99799999999999,45,20,6.2
196,Tual,-5.67,83.75,99,68,4.51
197,Fare,-16.7,83.75,100,0,0.34
198,Bara,10.41,79.43,24,0,3.69
199,Namibe,-15.19,77.27,100,0,3.91
200,Belmonte,40.36,48.992000000000004,53,0,3.06
201,Nakamura,35.17,46.4,65,75,5.7
202,Nanga Eboko,4.68,75.02,85,12,1.06
203,Khatanga,71.98,1.5800000000000018,80,88,3.24
204,Bocas del Toro,9.33,66.00200000000001,36,44,4.02
205,Karakol,42.49,14.0,76,0,0.69
206,Iranshahr,27.21,62.6,48,0,5.1
207,Dogondoutchi,13.64,80.87,29,0,2.96
208,Clyde River,70.47,-13.0,69,75,13.4
209,Ust-Omchug,61.13,-32.53,50,0,1.11
210,Damaturu,11.75,81.68,20,0,4.61
211,Dabola,10.74,76.91,55,8,1.39
212,Saskylakh,71.97,-25.15,38,8,1.36
213,Belyy Yar,53.6,14.0,78,0,1.0
214,Valparaiso,41.47,44.006,52,1,4.6
215,Sao Filipe,14.9,73.4,87,8,5.39
216,Brae,60.4,41.0,74,0,5.7
217,Ewa Beach,21.32,78.008,53,1,3.1
218,Lompoc,34.64,73.994,38,1,3.1
219,Largo,27.91,73.994,56,20,3.1
220,Norman Wells,65.28,41.0,60,75,1.0
221,Black River,18.03,82.4,65,40,6.7
222,Sanica,44.62,39.2,93,90,3.6
223,Santa Cruz Cabralia,-16.28,86.0,62,0,8.7
224,Guaymas,27.92,82.994,33,0,4.02
225,Chokurdakh,70.62,-21.28,62,48,1.34
226,Arraial do Cabo,-22.97,91.4,74,20,8.2
227,Yerbogachen,61.28,11.48,80,64,1.26
228,Shimoda,34.7,48.002,65,76,1.34
229,Maravilha,-26.76,71.99600000000001,100,90,5.1
230,Deputatskiy,69.3,-30.910000000000004,48,20,1.96
231,Bambous Virieux,-20.34,82.4,78,40,3.1
232,Mariental,52.28,39.2,70,0,5.7
233,Curuguaty,-24.47,79.52,78,68,1.01
234,Airai,-8.93,70.52,87,64,0.91
235,Banihal,33.44,30.92,87,48,0.16
236,Saint-Joseph,43.56,57.2,54,20,2.1
237,Labuhan,-2.54,72.32,94,36,0.84
238,Wuwei,37.93,28.85,63,80,1.71
